emp_no,first_name,last_name,tittle,salary,from_date,to_date
85288,Younwoo,Luders,Senior Engineer,59922,1995-03-31,9999-01-01
85414,Chiradeep,Callaway,Staff,46065,1999-07-30,9999-01-01
85445,Yongdong,Pollock,Staff,64616,1998-03-17,9999-01-01
85702,Udi,Merks,Engineer,46279,1997-08-15,9999-01-01
85874,Pasqua,Taubman,Senior Staff,45034,1986-06-23,9999-01-01
86213,Kristine,Clemencon,Senior Staff,58095,1990-04-22,9999-01-01
86354,Ronghao,Segond,Senior Engineer,66984,1993-09-13,9999-01-01
86422,Jaewon,Thummel,Senior Staff,40000,1985-09-14,9999-01-01
86546,Oldrich,Woycyznski,Senior Engineer,40000,1985-05-15,9999-01-01
86655,Zhenhua,Lorys,Engineer,42987,1995-08-21,9999-01-01
86672,JoAnne,Anido,Staff,40000,1995-09-15,9999-01-01
87129,Keung,Neiman,Staff,63824,1997-04-13,9999-01-01
87353,Quingbo,Coombs,Senior Engineer,54168,1999-01-17,9999-01-01
87714,Khun,Janetzko,Engineer,40000,1989-09-13,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,40000,1986-12-10,9999-01-01
87783,Conor,Thorensen,Senior Engineer,61557,1988-02-24,9999-01-01
88103,Goo,Bresenham,Senior Staff,81862,1999-01-31,9999-01-01
88411,Lena,Cannane,Engineer,40000,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,67886,1985-04-03,9999-01-01
88647,Vasiliy,Ratnaker,Engineer,47900,1995-08-09,9999-01-01
88958,Vojin,Coombs,Senior Staff,68392,1995-07-23,9999-01-01
88965,Mang,Hedayat,Engineer,45594,1995-05-22,9999-01-01
89048,Otmar,Birjandi,Senior Engineer,60750,1985-03-23,9999-01-01
89090,Tetsushi,Theuretzbacher,Senior Staff,47091,1990-02-01,9999-01-01
89161,Conal,Yetto,Senior Staff,40000,1991-01-12,9999-01-01
89207,Along,Erol,Senior Staff,40000,1992-10-16,9999-01-01
89346,Mansur,Comyn,Engineer,45781,1999-08-31,9999-01-01
89590,Guther,Rothenberg,Senior Staff,67868,1991-08-08,9999-01-01
89664,Pranjal,Rossi,Staff,59064,1998-07-07,9999-01-01
89680,Aiman,Mawatari,Senior Engineer,40000,1988-05-01,9999-01-01
89806,Xiadong,Shinomoto,Senior Engineer,40000,1997-05-24,9999-01-01
89922,Alexius,Ibel,Senior Engineer,62911,1988-04-24,9999-01-01
89941,Arnould,Weedman,Senior Staff,55028,1989-07-28,9999-01-01
90077,Vivian,Guerreiro,Engineer,45948,1991-07-08,9999-01-01
90084,Renny,Bale,Senior Engineer,45685,1989-11-22,9999-01-01
90211,Bader,Denis,Engineer,40000,1997-10-06,9999-01-01
90292,Koichi,Assaf,Senior Engineer,40491,1990-05-26,9999-01-01
90518,Fumiko,Chepyzhov,Senior Staff,42375,1988-01-28,9999-01-01
90614,Yonghoan,Trogemann,Engineer,44589,1988-09-23,9999-01-01
90692,Rajmohan,DasSarma,Senior Staff,40000,1985-09-14,9999-01-01
91172,Kazuhisa,Melter,Senior Staff,40000,1987-07-16,9999-01-01
91182,Lucien,Schwartzburd,Senior Engineer,44702,1988-08-25,9999-01-01
91229,Yahiko,Hebden,Senior Engineer,40000,1996-10-03,9999-01-01
91256,Gunilla,Milicic,Staff,81518,1998-01-09,9999-01-01
91333,Lobel,Stafford,Staff,54313,1998-11-29,9999-01-01
91415,Jamaludin,Nilsson,Senior Staff,50426,1987-01-15,9999-01-01
91648,Dmitry,Msuda,Senior Staff,84094,1988-10-22,9999-01-01
92438,Aria,Kilgore,Senior Engineer,54543,1989-02-27,9999-01-01
92454,Visit,McFarlan,Senior Engineer,40000,1987-10-22,9999-01-01
92577,Zhanqiu,Farrow,Assistant Engineer,40000,1999-01-10,9999-01-01
92598,Ranga,Merro,Assistant Engineer,56144,1996-05-11,9999-01-01
92685,Mang,Atchley,Senior Staff,55634,1995-06-07,9999-01-01
92841,Claude,Candan,Senior Staff,78441,1993-08-04,9999-01-01
92846,Anyuan,Kropatsch,Senior Staff,44033,1986-09-05,9999-01-01
92920,Huei,Hutter,Senior Engineer,40000,1993-01-28,9999-01-01
93040,Jaques,Kabayashi,Senior Engineer,56125,1992-03-13,9999-01-01
93220,Richara,Walston,Senior Engineer,47553,1996-08-27,9999-01-01
93278,Magdalena,Penn,Senior Engineer,49314,1997-01-04,9999-01-01
93549,Arie,Coullard,Senior Staff,81468,1991-04-15,9999-01-01
93600,Kristina,Neimat,Technique Leader,40000,1988-04-18,9999-01-01
94331,Ramzi,Cronau,Technique Leader,40000,1999-09-03,9999-01-01
94416,Aran,Cesareni,Senior Staff,61048,1990-02-10,9999-01-01
94761,Hitofumi,Zaccaria,Senior Engineer,48772,1988-11-22,9999-01-01
94944,Heping,Matheson,Senior Engineer,57985,1988-06-24,9999-01-01
95181,Yishai,Cappelli,Staff,66810,1997-01-30,9999-01-01
95286,Kristin,Guerreiro,Senior Engineer,40000,1989-08-23,9999-01-01
95314,Rasiah,Koblick,Senior Staff,69833,1991-08-21,9999-01-01
95406,Alair,Lyonns,Engineer,40000,1997-07-12,9999-01-01
95416,Gianluca,Ramaiah,Engineer,51499,1993-11-29,9999-01-01
95509,Kristinn,Loncour,Engineer,40000,1995-02-08,9999-01-01
95920,Nobuyoshi,Hegner,Senior Staff,61744,1994-09-07,9999-01-01
96571,Kokou,Garrabrants,Senior Engineer,47390,1997-11-05,9999-01-01
96579,Mohan,Tasistro,Engineer,50866,1996-02-10,9999-01-01
96767,Arumugam,Vecchio,Senior Engineer,68591,1985-08-14,9999-01-01
97018,Jeanna,Chinen,Senior Engineer,44400,1989-01-01,9999-01-01
97623,Haldon,Janetzko,Senior Staff,45153,1990-09-11,9999-01-01
97661,Avishai,Hegner,Senior Staff,46725,1993-05-08,9999-01-01
98288,Sumali,Huttel,Senior Staff,43445,1989-09-12,9999-01-01
98306,Ziya,Kadhim,Senior Engineer,58503,1995-11-02,9999-01-01
98639,Florina,Assaf,Staff,40000,1996-05-18,9999-01-01
99057,Shugo,Reeken,Staff,40000,1999-06-21,9999-01-01
99373,Xiaobin,Christianini,Senior Staff,40000,1985-12-25,9999-01-01
99377,Carrsten,Francisci,Senior Engineer,51127,1991-06-16,9999-01-01
99590,Dhritiman,Anily,Staff,86023,1998-12-16,9999-01-01
99654,Mahendra,Motley,Senior Staff,58667,1985-09-28,9999-01-01
100865,Hisao,Peral,Senior Engineer,84451,1990-10-03,9999-01-01
100916,Heejo,Aamodt,Senior Engineer,58123,1992-04-22,9999-01-01
101487,Abdelaziz,Sury,Senior Staff,60348,1991-01-31,9999-01-01
101647,Mori,Homond,Senior Staff,69247,1994-05-10,9999-01-01
101902,Mantis,Millington,Senior Staff,58037,1991-03-18,9999-01-01
102620,Adin,Templeman,Engineer,45060,1997-12-10,9999-01-01
103196,Djenana,Albarhamtoshy,Senior Staff,40000,1988-07-16,9999-01-01
103310,Visit,Swen,Senior Staff,66244,1995-10-02,9999-01-01
103316,Susanne,Peternell,Senior Engineer,45189,1994-07-27,9999-01-01
103342,Beshir,Hellwagner,Engineer,40000,1998-02-03,9999-01-01
103756,Heping,Halloran,Engineer,40000,1992-04-08,9999-01-01
104133,Pranjal,Zyda,Senior Staff,92751,1991-07-03,9999-01-01
104845,Werner,Lodder,Senior Staff,54489,1992-06-17,9999-01-01
104988,Parviz,Litzler,Senior Engineer,71970,1992-08-08,9999-01-01
105342,Kwun,Reeker,Technique Leader,61529,1999-07-29,9999-01-01
105356,Diederik,Matzov,Senior Engineer,43737,1988-05-12,9999-01-01
105432,Mohamadou,Stafford,Senior Engineer,55985,1995-09-12,9999-01-01
105520,Haldun,Lienhardt,Senior Staff,71995,1987-01-29,9999-01-01
105731,Sachem,Cromarty,Engineer,48369,1990-08-20,9999-01-01
106096,Naftali,Schurmann,Senior Engineer,40000,1992-12-02,9999-01-01
106242,Nevio,Thisen,Senior Staff,40000,1988-03-25,9999-01-01
106695,Lijie,Garrabrants,Senior Staff,52364,1985-10-02,9999-01-01
106710,Babette,Anandan,Senior Staff,60537,1986-11-22,9999-01-01
107486,Siamak,Luiz,Senior Engineer,40000,1987-02-11,9999-01-01
107737,Fabrizio,Chleq,Senior Engineer,70367,1999-07-31,9999-01-01
107792,Shahab,Crooks,Senior Staff,80432,1992-03-18,9999-01-01
107828,Ramya,Walston,Senior Staff,78757,1989-02-03,9999-01-01
108091,Hisao,Ghemri,Senior Staff,56381,1985-11-14,9999-01-01
108198,Randi,Samarati,Senior Staff,42904,1992-10-20,9999-01-01
108316,Shai,Stellhorn,Senior Engineer,40000,1992-05-21,9999-01-01
108988,Oksana,Baek,Senior Staff,60335,1989-07-20,9999-01-01
109062,Jamaludin,Kandlur,Senior Engineer,45396,1992-06-19,9999-01-01
109211,Gor,Delgrande,Senior Engineer,40000,1995-11-07,9999-01-01
109252,Moty,Winter,Technique Leader,40000,1991-04-28,9999-01-01
109278,Bangqing,Schach,Senior Staff,57911,1988-03-22,9999-01-01
109552,Menkae,Etalle,Engineer,49886,1997-05-21,9999-01-01
109598,Stamatina,Auyong,Senior Staff,59483,1988-07-05,9999-01-01
109620,Mani,Cannata,Senior Staff,68293,1989-06-21,9999-01-01
109703,Arco,Walston,Engineer,46705,1999-08-16,9999-01-01
109741,Hatem,Fadgyas,Senior Engineer,40000,1991-11-13,9999-01-01
109953,Godehard,Chorvat,Senior Staff,56632,1988-04-10,9999-01-01
200267,Chuanti,Luff,Senior Staff,40000,1994-09-21,9999-01-01
200312,Akemi,Fujisaki,Senior Engineer,40000,1998-06-25,9999-01-01
200363,Kirk,Quaggetto,Senior Engineer,54013,1987-06-30,9999-01-01
200735,Dinah,Denos,Senior Staff,65769,1992-09-21,9999-01-01
200789,Susumu,Camurati,Senior Staff,65044,1991-12-15,9999-01-01
201229,Alejandra,Khasidashvili,Staff,49086,1994-07-30,9999-01-01
201708,Anneli,Perl,Senior Staff,40000,1992-09-08,9999-01-01
201709,Fan,Kakkad,Senior Staff,78121,1988-02-25,9999-01-01
201739,Genta,Terekhov,Assistant Engineer,57310,1998-07-21,9999-01-01
201801,Waiman,Genin,Senior Engineer,50795,1988-10-30,9999-01-01
201915,Sudharsan,DeMori,Senior Engineer,62133,1992-03-30,9999-01-01
202291,Ortrun,Schmiedel,Engineer,63773,1997-07-18,9999-01-01
202403,Gully,Perko,Engineer,40000,1999-07-07,9999-01-01
202414,Zvonko,Murthy,Senior Staff,50945,1992-01-07,9999-01-01
202552,Morris,Saoudi,Senior Engineer,40000,1991-11-22,9999-01-01
202826,Kerhong,Matzke,Senior Engineer,40000,1986-11-14,9999-01-01
202882,Isaac,Koshino,Senior Engineer,40000,1995-09-28,9999-01-01
202950,Giordano,Pietrzykowski,Senior Staff,40000,1987-03-26,9999-01-01
203474,Hugh,Jonsson,Senior Staff,71401,1991-07-06,9999-01-01
203495,Zongyan,Gips,Technique Leader,40000,1997-05-31,9999-01-01
203599,Ewing,DiGiano,Technique Leader,41382,2000-02-01,9999-01-01
203720,Sasan,Thimonier,Senior Staff,72078,1996-08-21,9999-01-01
203946,Yefim,Marwedel,Senior Staff,56594,1993-03-30,9999-01-01
204117,Jessie,Nooteboom,Staff,80942,1999-08-13,9999-01-01
204133,Susuma,Bergere,Senior Staff,56752,1996-02-25,9999-01-01
204246,Arve,Worfolk,Senior Staff,40000,1985-04-01,9999-01-01
204425,Gretta,Huttel,Senior Engineer,40000,1990-10-08,9999-01-01
204470,Hein,Lichtner,Senior Staff,55499,1995-04-03,9999-01-01
204471,Franziska,Maginnis,Senior Engineer,40000,1986-02-17,9999-01-01
204764,Susanne,Mandelberg,Senior Engineer,47854,1990-11-02,9999-01-01
205018,Yahiko,Awdeh,Engineer,55086,1998-08-05,9999-01-01
205085,Moni,Kornyak,Technique Leader,43219,1991-09-26,9999-01-01
205174,Leszek,Spinelli,Staff,55525,1998-12-10,9999-01-01
205500,Mary,Setiz,Senior Engineer,40000,1989-01-13,9999-01-01
205627,Stabislas,Broder,Senior Engineer,40000,1996-07-16,9999-01-01
205660,Kien,Barreiro,Staff,40000,1997-08-25,9999-01-01
205699,Youjian,Yetto,Senior Staff,55096,1994-12-07,9999-01-01
205789,Limsoon,Skafidas,Senior Staff,49886,1999-08-10,9999-01-01
205863,Aiichiro,Kusalik,Senior Engineer,48877,1990-10-04,9999-01-01
206748,Yucai,Fabrizio,Staff,62756,1999-10-06,9999-01-01
206836,Guadalupe,Pfau,Senior Staff,48691,1993-03-22,9999-01-01
206966,Tzu,Sichman,Senior Engineer,61861,1987-11-17,9999-01-01
207021,Jacqueline,Akaboshi,Engineer,46523,1997-12-06,9999-01-01
207068,Zhiguo,Ariola,Senior Staff,63190,1994-09-07,9999-01-01
207204,Kellie,Schrooten,Engineer,40000,1991-01-17,9999-01-01
207401,Shuji,Barbanera,Senior Staff,47070,1987-08-10,9999-01-01
207551,Baziley,Falck,Assistant Engineer,40000,1995-02-18,9999-01-01
207779,Chinya,Kamble,Senior Staff,48113,1992-05-31,9999-01-01
207980,Remko,Vieth,Senior Staff,40000,1990-11-22,9999-01-01
208147,Manu,Rothenberg,Senior Engineer,57788,1988-12-06,9999-01-01
208330,Shen,Flanders,Senior Staff,80127,1989-07-03,9999-01-01
208639,Larisa,Lukaszewicz,Senior Staff,64461,1989-10-10,9999-01-01
208653,Phillip,Schade,Senior Engineer,54926,1989-03-03,9999-01-01
208784,Pranjal,Juneja,Senior Engineer,40000,1985-03-21,9999-01-01
209101,Xinyu,Edelhoff,Senior Engineer,50790,1997-10-26,9999-01-01
209443,Krassimir,Garnier,Senior Staff,54723,1998-01-26,9999-01-01
209565,Dante,Covnot,Senior Staff,40000,1989-05-28,9999-01-01
209712,Nimmagadda,Baak,Engineer,65975,1987-10-30,9999-01-01
210017,Shalesh,Lovengreen,Senior Staff,40000,1990-09-29,9999-01-01
210292,Lihong,Zeilberger,Staff,42520,1996-04-28,9999-01-01
210449,Gino,Lagarias,Engineer,47376,1997-06-22,9999-01-01
210752,Saniya,Stenning,Senior Staff,47970,1986-12-10,9999-01-01
211858,Domenico,Ratnaker,Senior Engineer,43498,1985-03-24,9999-01-01
210786,Werner,Ranze,Staff,52846,1998-06-05,9999-01-01
211879,Gao,Ranze,Senior Engineer,40000,1994-11-24,9999-01-01
212093,Leni,Henders,Senior Staff,40000,1993-11-19,9999-01-01
211967,Anwar,Bain,Senior Engineer,40704,1989-01-22,9999-01-01
213016,Yongmao,Fontan,Senior Engineer,40596,1993-07-26,9999-01-01
212154,Sailaja,Holburn,Senior Staff,41645,1991-03-04,9999-01-01
212361,Claudi,Stanfel,Senior Engineer,40000,1996-01-07,9999-01-01
213384,Pranas,Narwekar,Senior Engineer,41608,1985-09-26,9999-01-01
213140,Tru,Danecki,Staff,72365,1997-03-31,9999-01-01
214215,Xiaoqiang,Cardazo,Senior Staff,90603,1993-05-28,9999-01-01
213447,Armond,Perly,Senior Engineer,57808,1989-09-14,9999-01-01
214427,Peer,Molberg,Engineer,62160,1996-11-17,9999-01-01
214391,Rayond,Klassen,Senior Staff,46462,1993-09-11,9999-01-01
214634,Shirish,Vickson,Senior Engineer,48826,1989-10-24,9999-01-01
214789,Arfst,Chepyzhov,Senior Engineer,40000,1989-02-06,9999-01-01
214539,Ingmar,Kohling,Engineer,64488,1995-04-25,9999-01-01
215629,Munehiro,Manders,Senior Staff,40000,1987-05-18,9999-01-01
214866,Gopalakrishnan,Angel,Senior Engineer,40000,1997-07-05,9999-01-01
214995,Dinkar,Hoppenstand,Engineer,40000,1994-05-04,9999-01-01
215419,Flemming,Kroha,Staff,40000,1995-01-23,9999-01-01
215843,Pramod,Loncour,Senior Staff,47164,1987-03-31,9999-01-01
215746,Sven,Speer,Staff,79967,1999-07-08,9999-01-01
216342,Aiichiro,Cromarty,Senior Engineer,40000,1995-06-10,9999-01-01
216054,Sahrah,Angiulli,Senior Staff,40000,1986-07-31,9999-01-01
216502,Xiaocheng,Suermann,Engineer,63256,1997-12-15,9999-01-01
216375,Byong,Gustavson,Senior Engineer,59674,1985-03-12,9999-01-01
216573,Ashish,Vidya,Senior Engineer,41448,1989-06-16,9999-01-01
217026,Otmar,Engberts,Senior Staff,51335,1993-08-16,9999-01-01
217080,Masami,Puoti,Senior Engineer,40000,2000-01-21,9999-01-01
216921,Lena,Lenart,Senior Staff,51601,1990-12-25,9999-01-01
217272,Yuchang,Eldridge,Senior Staff,56909,1986-08-01,9999-01-01
217286,Yannik,Spelt,Technique Leader,40000,1992-09-22,9999-01-01
217320,Abdelwaheb,Denis,Engineer,40000,1993-09-10,9999-01-01
217551,Panayotis,Lukaszewicz,Senior Engineer,41730,1989-06-06,9999-01-01
217363,Horward,Marzano,Staff,74333,1996-04-11,9999-01-01
217387,Jianhao,Molenaar,Senior Engineer,40000,1987-10-22,9999-01-01
217800,Shay,Servieres,Senior Staff,52924,1998-08-06,9999-01-01
218022,Mokhtar,Poupard,Technique Leader,46593,1992-02-02,9999-01-01
218100,Jiong,Garnham,Senior Staff,40000,1990-01-02,9999-01-01
218831,Unal,DuBourdieux,Engineer,99378,1996-03-13,9999-01-01
219035,Kristine,Bierman,Technique Leader,40000,1988-05-13,9999-01-01
219047,Aemilian,Kusalik,Senior Engineer,40000,1987-05-27,9999-01-01
219052,Marsal,Acton,Staff,62703,1995-08-02,9999-01-01
219417,Subhrajyoti,Denna,Staff,47152,1996-07-25,9999-01-01
219497,Moie,Zastre,Technique Leader,40929,1991-10-11,9999-01-01
219967,Susanna,Reeken,Senior Staff,47439,1998-03-16,9999-01-01
220131,Reinhard,Slaats,Senior Engineer,48012,1994-06-08,9999-01-01
220029,Demos,Asser,Senior Engineer,43792,1985-11-04,9999-01-01
220418,Poorav,Laventhal,Staff,73906,1997-08-16,9999-01-01
220699,Nahid,Gyimothy,Staff,40000,1995-08-18,9999-01-01
220528,Sibyl,Rabehasaina,Senior Staff,42934,1998-02-23,9999-01-01
220582,Poornachandra,Zielinski,Senior Staff,54228,1996-02-13,9999-01-01
220611,Yuping,Babb,Senior Staff,40000,1995-01-31,9999-01-01
220799,Perla,Orlowska,Senior Engineer,51087,1990-12-03,9999-01-01
220625,Shigenori,Deville,Technique Leader,40000,1992-12-24,9999-01-01
221126,Tesuya,dAstous,Senior Engineer,40000,1988-11-29,9999-01-01
221435,Djenana,Marrevee,Senior Engineer,68650,1994-02-06,9999-01-01
221367,Saddek,Farris,Senior Staff,42249,1990-11-06,9999-01-01
221369,Abdulah,Pocchiola,Engineer,52230,1996-08-28,9999-01-01
221973,Sangeeta,Kalefeld,Senior Staff,59010,1990-06-06,9999-01-01
222311,Miyeon,Billingsley,Senior Engineer,53877,1992-12-05,9999-01-01
222206,Stein,Uludag,Senior Staff,40000,1988-01-30,9999-01-01
222319,Matt,Chvatal,Senior Engineer,40000,1994-11-09,9999-01-01
222354,Valdiodio,Schlumberger,Engineer,40000,1993-08-07,9999-01-01
222616,Badri,Schapire,Assistant Engineer,40000,1998-01-19,9999-01-01
222998,Leaf,Awdeh,Senior Staff,51391,1985-02-20,9999-01-01
222770,Kazuhiko,Kushner,Senior Engineer,49344,1995-08-01,9999-01-01
222878,Annemarie,Zallocco,Senior Engineer,42172,1990-05-28,9999-01-01
222926,Limsoon,Erol,Senior Engineer,40000,1997-12-31,9999-01-01
222952,Gopalakrishnan,Suermann,Senior Engineer,51100,1991-04-30,9999-01-01
223593,Hidefumi,Moehrke,Staff,56912,1998-03-04,9999-01-01
223595,Chiranjit,Dredge,Technique Leader,44999,1999-09-05,9999-01-01
224135,Annemarie,Bressoud,Engineer,43178,1998-06-23,9999-01-01
224390,True,Shobatake,Senior Staff,40000,1996-05-17,9999-01-01
224335,Perry,Chachaty,Senior Engineer,54702,1985-07-22,9999-01-01
225964,Mooi,Cooman,Senior Engineer,52478,1989-06-07,9999-01-01
224934,George,Miake,Senior Staff,40000,1988-01-02,9999-01-01
225438,Remmert,Quaggetto,Senior Staff,78303,1992-04-28,9999-01-01
225601,Masasuke,Genin,Engineer,40000,1994-06-25,9999-01-01
225788,Ipke,Kieras,Engineer,40000,1995-12-18,9999-01-01
225867,Ramalingam,Remmele,Senior Engineer,40000,1999-09-03,9999-01-01
227354,Gio,Murtha,Senior Engineer,49256,1986-11-11,9999-01-01
226216,Giordano,Gini,Technique Leader,40000,1993-08-14,9999-01-01
226227,Herbert,Erva,Senior Engineer,55409,1986-09-06,9999-01-01
228098,IEEE,Kroll,Engineer,40000,1997-05-10,9999-01-01
227476,Macha,Schnabel,Senior Engineer,73795,1988-05-11,9999-01-01
227681,Mikhail,Rousseau,Staff,45519,1998-11-30,9999-01-01
227899,Garnik,Luce,Staff,61605,1998-09-15,9999-01-01
227901,Francesca,Azuma,Senior Staff,40000,1996-06-08,9999-01-01
228248,Yuriy,Plump,Senior Staff,54431,1988-09-08,9999-01-01
228554,Bilhanan,Brendel,Senior Staff,71741,1990-12-23,9999-01-01
229386,Pohua,Tasistro,Technique Leader,60980,1989-06-02,9999-01-01
228766,Nahla,Smailagic,Senior Engineer,86747,1991-11-22,9999-01-01
229098,Berry,Yurek,Senior Staff,41874,1995-08-16,9999-01-01
229220,Fabrizio,Lichtman,Senior Engineer,40000,1987-02-09,9999-01-01
229248,Harjit,Terekhov,Staff,40000,1995-10-19,9999-01-01
229547,Moni,Schach,Senior Staff,61762,1986-07-04,9999-01-01
229727,Ewing,Millington,Engineer,43638,1999-09-28,9999-01-01
229391,Paloma,Henseler,Senior Engineer,50035,1991-06-11,9999-01-01
229404,Gilbert,Kilgour,Staff,55086,1996-04-05,9999-01-01
230126,Bezalel,Radivojevic,Senior Staff,40000,1988-07-02,9999-01-01
229981,Jamaludin,Fordan,Senior Engineer,56315,1992-02-06,9999-01-01
230002,Tadahiro,Backhouse,Senior Engineer,84438,1991-10-02,9999-01-01
230354,Yinghua,Lorho,Senior Staff,40000,1991-08-09,9999-01-01
230287,Renny,Alameldin,Assistant Engineer,40000,1997-09-28,9999-01-01
230865,Takushi,Brattka,Staff,61136,1999-03-09,9999-01-01
230498,Kolar,Puppo,Senior Engineer,40000,1990-04-25,9999-01-01
230579,Shahar,Negoita,Senior Staff,60150,1994-03-19,9999-01-01
230689,Dietrich,Crabtree,Senior Staff,45823,1986-05-24,9999-01-01
231069,Trygve,Siksek,Staff,88709,1995-11-09,9999-01-01
231671,Chandrasekaran,Pearson,Staff,40000,1995-04-14,9999-01-01
231459,Nectarios,Pramanik,Assistant Engineer,55246,1999-11-18,9999-01-01
231798,Goetz,Alvarado,Senior Engineer,46062,1988-12-25,9999-01-01
232209,Nitsan,Rouquie,Senior Engineer,46339,1988-08-01,9999-01-01
232178,Etsuo,Anandan,Senior Staff,40000,1989-12-13,9999-01-01
232697,Barry,Ramsak,Senior Engineer,40000,1990-09-07,9999-01-01
232723,Tesuya,Bugrara,Engineer,40000,1993-02-13,9999-01-01
233114,Alselm,Gargeya,Senior Engineer,78365,1987-12-25,9999-01-01
233759,Zissis,Lodder,Engineer,40000,1999-09-25,9999-01-01
233394,Khalid,Lenart,Engineer,40000,1995-12-24,9999-01-01
233397,Fay,Sundgren,Senior Staff,63272,1990-07-07,9999-01-01
233426,Etsuo,Usery,Senior Engineer,40990,1995-03-02,9999-01-01
233690,Cedric,Riefers,Engineer,47246,1994-09-08,9999-01-01
233765,Kotesh,Chachaty,Senior Engineer,47195,1991-03-25,9999-01-01
233785,Baziley,Ballarin,Senior Staff,88012,1987-07-28,9999-01-01
233818,Kellie,Heydon,Senior Engineer,40000,1985-11-11,9999-01-01
235017,Irena,Dratva,Senior Staff,66452,1991-09-07,9999-01-01
234195,Luerbio,Terkki,Senior Staff,50836,1991-05-14,9999-01-01
234739,Foong,Aamodt,Senior Engineer,40000,1986-06-28,9999-01-01
235325,Gro,Prochazka,Senior Engineer,40000,1992-10-16,9999-01-01
235096,Sverrir,Gyimothy,Senior Staff,75886,1987-03-21,9999-01-01
235368,Anneli,Joslin,Senior Engineer,40000,1987-04-12,9999-01-01
235458,Gio,Heuser,Senior Staff,46139,1992-06-28,9999-01-01
236566,Yechezkel,Maginnis,Senior Staff,40000,1992-12-11,9999-01-01
235729,Henk,Anger,Senior Staff,52272,1993-01-19,9999-01-01
235780,Sampalli,Bergere,Senior Engineer,40000,1994-04-08,9999-01-01
235793,Jayesh,Spinelli,Senior Engineer,61027,1992-07-18,9999-01-01
236315,IEEE,Raczkowsky,Technique Leader,40000,1996-07-24,9999-01-01
236591,Insup,Reinhard,Senior Staff,63990,1985-04-08,9999-01-01
236964,Adel,Foote,Staff,85659,1998-08-19,9999-01-01
236827,Almudena,Rijckaert,Senior Engineer,40000,1994-02-16,9999-01-01
236883,Huan,Olivero,Staff,72410,1999-11-19,9999-01-01
238112,Miomir,Frezza,Technique Leader,40000,1991-05-25,9999-01-01
238949,Minghong,Cronin,Senior Staff,55007,1987-10-04,9999-01-01
238252,Uno,Suppi,Staff,48008,1996-12-27,9999-01-01
238422,Vishv,Angelov,Senior Staff,40000,1988-03-08,9999-01-01
239664,Sugwoo,Michaels,Senior Engineer,40000,1992-08-02,9999-01-01
239067,Tadahiko,Pocchiola,Staff,90988,1996-04-02,9999-01-01
239244,Abdulla,Kitai,Senior Staff,58738,1987-02-20,9999-01-01
239415,Susumu,Brender,Senior Engineer,48404,1993-04-17,9999-01-01
239426,Vesna,Fairtlough,Engineer,40000,1994-08-09,9999-01-01
239706,Arunas,Bugrara,Assistant Engineer,58498,1997-04-03,9999-01-01
239803,Oscal,Ernst,Senior Staff,40000,1992-05-19,9999-01-01
239748,Bilhanan,Dusink,Senior Staff,69092,1988-06-04,9999-01-01
240132,Mizuhito,Kobara,Senior Staff,56439,1996-08-09,9999-01-01
240285,Kolar,Greenaway,Staff,45885,1998-11-14,9999-01-01
240236,True,Tischendorf,Senior Engineer,40000,1986-01-19,9999-01-01
240340,Mack,Staylopatis,Senior Engineer,40000,1985-04-02,9999-01-01
241100,Cedric,Molenaar,Senior Engineer,40000,1990-10-06,9999-01-01
240438,Temple,Cyre,Senior Staff,62140,1992-09-30,9999-01-01
240870,Francesca,Chorvat,Senior Staff,40000,1985-03-03,9999-01-01
241292,Uri,Lampe,Senior Staff,42997,1987-10-17,9999-01-01
241667,Atilio,Olivero,Senior Engineer,56580,1985-09-04,9999-01-01
241254,Jagoda,Anguita,Senior Engineer,40000,1993-05-11,9999-01-01
241567,Emran,Miara,Senior Engineer,40000,1989-05-02,9999-01-01
241872,Bluma,Fetvedt,Senior Staff,40000,1992-02-03,9999-01-01
241728,Limsoon,Boudaillier,Senior Engineer,52540,1995-08-12,9999-01-01
242081,Tomokazu,Pargas,Engineer,50182,1996-11-15,9999-01-01
242104,Richara,Sudkamp,Senior Staff,57772,1989-09-05,9999-01-01
242019,Herb,Murrill,Senior Engineer,50527,1999-09-27,9999-01-01
243018,Bowen,Deverell,Senior Staff,62716,1998-12-27,9999-01-01
242500,Bingning,Iisaku,Senior Staff,76979,1989-06-26,9999-01-01
242800,Kazuyasu,Levergood,Engineer,46401,1996-02-10,9999-01-01
243077,Kazunori,Perz,Senior Engineer,54935,1999-02-25,9999-01-01
243576,Abdulah,Lodder,Senior Staff,60593,1996-11-10,9999-01-01
243637,Marjo,Delgrange,Senior Staff,60619,1990-06-24,9999-01-01
244308,Mokhtar,Rebaine,Senior Staff,51276,1991-07-23,9999-01-01
243898,Arch,Basawa,Staff,58876,1998-05-10,9999-01-01
244624,Boaz,Seuren,Senior Staff,40000,1987-03-27,9999-01-01
244820,Shigenori,Hertweck,Senior Engineer,54013,1987-04-13,9999-01-01
244605,Masoud,Suwa,Senior Staff,40000,1989-11-25,9999-01-01
244711,Rosli,Butner,Engineer,56130,1991-03-20,9999-01-01
244714,Poorav,Clouatre,Senior Engineer,50839,1996-05-06,9999-01-01
